Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
CC-0000004,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนคลัทช์,-,580.00,
CC-0000008,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ลูกปืนคลัทช์,-,580.00,
DJ-0100190,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันฝุ่นเพลาขับ,ใน,,
DJ-0100191,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันฝุ่นเพลาขับ,ใน,,
DJ-0100246,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันฝุ่นเพลาขับ,นอก,,
DJ-0100248,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ยางกันฝุ่นเพลาขับ,นอก,,
HB-0100004,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ชุดซ่อมคลัทช์,-,380.00,
HB-0100005,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ชุดซ่อมคลัทช์,-,350.00,
HB-0100012,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),ชุดซ่อมคลัทช์,-,350.00,
Z-09600001,TOYOTA,SOLUNA,โซลูน่า,โฉมปี 1996-2002 (AL50),ยางรองน็อตฝาวาล์ว,-,,
Z-13000001,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (2WD มังกรทอง),มือเปิดประตู,ใน,,
HH-0000022,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางหิ้วเพลากลาง,-,650.00,
DH-0900011,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),บู๊ชหูแหนบ,หน้า,,
DJ-0100024,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,ใน,220.00,
DJ-0100025,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,ใน,220.00,
DJ-0100090,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,นอก,220.00,
DJ-0100091,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,นอก,220.00,
DJ-0100192,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,ใน,,
DJ-0100247,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ยางกันฝุ่นเพลาขับ,นอก,,
DH-0400083,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),บู๊ชปีกนก,ล่าง,180.00,
DH-0400213,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),บู๊ชปีกนก,บน,,
DF-0900006,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),สกรูกันโคลง,หน้า,200.00,
DF-0600034,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ลูกหมากปีกนก,ล่าง,650.00,
DF-0600085,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ลูกหมากปีกนก,บน,600.00,
HB-0100006,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ชุดซ่อมคลัทช์,-,350.00,
HB-0100007,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ชุดซ่อมคลัทช์,-,350.00,
HB-0100013,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ชุดซ่อมคลัทช์,-,350.00,
AB-0000020,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),ก้ามเบรค,หลัง,"1,000.00",
AE-0000041,ISUZU,TFR,ทีเอฟอาร์,โฉมปี 1988-2001 (4WD มังกรทอง),กระบอกเบรค,หลัง,350.00,
IC-0000007,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ไส้กรองน้ำมันเครื่อง,-,,
Z-09500001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ยางรองหัวฉีด,-,120.00,
Z-12600001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ท่ออากาศ,-,"1,500.00",
Z-12600002,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ท่ออากาศ,-,650.00,
EA-0100015,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สายพานไดร์ชาร์จ (หน้าเครื่อง),-,280.00,
EA-0100075,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สายพานไดร์ชาร์จ (หน้าเครื่อง),-,320.00,
Z-00300011,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ปะเก็นฝาวาล์ว,-,220.00,
LL-0000005,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ฝาหม้อน้ำ,-,240.00,
LL-0000015,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ฝาหม้อน้ำ,-,240.00,
EA-0300005,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สายพานแอร์,-,280.00,
EA-0300012,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สายพานแอร์,-,280.00,
BG-0000002,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลหัวฉีด,-,120.00,
Z-00900002,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ยางวงเดือน,-,60.00,
DL-0000003,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),แร็คพวงมาลัย,-,"7,500.00",
Z-14000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ขั้วไฟใหญ่,-,80.00,
BN-0000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ซีลแป๊ปหัวฉีดดีเซล,-,,
EA-0400001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),สายพานพาวเวอร์,-,,
IG-0000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ไส้กรองน้ำมันดีเซล (โซล่า),-,260.00,
IG-0000008,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ไส้กรองน้ำมันดีเซล (โซล่า),-,260.00,
